391	1155	4
10197	4400	3
6701	10714	4
5483	3994	3
9316	14706	5
9316	14707	5
6716	4709	4
4785	13462	5
682	2671	3
9544	11711	3
9895	15709	4
651	8890	5
7281	8557	3
405	11655	4
4317	27	5
6409	15599	4
10279	3146	3
7970	6465	4
2734	2319	4
3620	5214	5
9633	10775	4
3340	10463	4
3231	1340	5
5483	3998	3
7012	11232	4
6982	4848	2
4791	560	5
2016	2532	4
857	6681	5
8081	15343	5
593	10715	5
9514	10516	4
10238	15918	5
10329	14867	5
9450	10911	3
9327	26	3
8977	14029	2
8427	7007	4
9866	5391	5
5712	5080	4
5467	16030	3
7082	17308	5
9896	9832	4
10071	11417	4
3700	1242	4
5256	15863	3
1373	16421	4
7320	2759	2
5426	4507	4
318	10195	4
10290	17320	3
6702	9840	5
1832	3931	4
9994	15053	4
7495	2319	4
6875	2991	5
5601	4306	5
4325	4978	4
6413	10496	4
7900	3665	5
553	3792	2
3568	7791	3
281	8357	3
6450	8218	3
2353	2934	4
10221	13772	3
7789	3077	3
5878	8661	3
8550	1882	5
4804	8542	1
8543	15755	4
1293	12053	2
10022	3549	4
8808	11110	4
10095	10943	3
9744	13472	5
2524	17498	4
8854	2016	4
3723	12121	5
6636	8254	3
2921	8373	4
543	6936	4
6409	15738	3
6471	15766	4
2351	13391	4
5845	13033	5
1931	11133	2
1673	11959	1
9752	7887	2
6580	13352	4
1367	9680	4
2852	14967	4
5291	11848	2
5615	5826	4
8605	1103	4
9349	10680	3
140	5966	5
254	12953	4
7852	14024	4
427	8461	5
455	2285	4
7464	2437	3
3983	11210	4
6710	14801	4
3883	4557	3
7081	4722	4
8104	235	4
4473	13266	4
3221	3529	5
8556	14900	4
6265	11740	4
4103	11209	5
2475	2559	5
6031	17203	3
7515	15356	2
1316	17593	3
3623	12016	3
5014	9605	4
1691	7887	3
9146	11438	5
6940	538	5
4678	11756	5
6933	16018	4
1750	13223	3
3291	1898	5
4749	2474	4
2124	16283	4
223	17588	4
10002	1479	3
4602	7327	3
8084	4848	4
10222	3205	2
2391	8062	4
1084	1750	3
5406	10008	3
1634	8723	3
7617	4557	3
3390	2596	5
7741	13093	5
2348	9192	5
6907	14104	4
6888	2385	3
5027	1643	4
593	16903	3
3483	8342	5
966	840	3
1296	1707	3
782	9840	5
2150	13155	4
10418	13052	3
7852	13556	4
6550	13920	5
4109	1339	4
2264	6025	1
7495	328	3
5896	886	5
2029	13800	4
2468	4694	3
10126	16898	4
8986	349	3
8728	11642	4
3638	14363	3
553	569	5
7776	11974	3
4344	13800	5
2071	9283	3
10287	4878	4
7421	16906	4
8965	13829	4
3253	1472	4
3207	12067	4
4344	14554	5
3253	1479	3
2589	4601	4
9648	1116	4
9941	10481	3
6212	11756	2
9046	15383	5
3448	2632	5
2988	4097	4
4117	2905	4
1744	11769	5
1885	11584	4
354	12978	4
5779	2475	4
237	11883	4
8624	1725	4
4595	13348	3
9712	13866	3
3242	15786	3
8598	15484	5
4110	8867	4
3843	2688	4
2256	16043	3
8839	6959	4
5558	5339	4
7312	6519	3
6553	13669	4
3746	7681	3
859	2478	3
5616	16485	5
2460	1099	5
9712	5562	4
3460	11240	4
8180	6672	4
5624	721	3
2129	1099	4
10385	15538	4
7789	1022	2
5561	886	5
3328	4507	4
7474	17590	4
8442	15506	3
6815	14302	4
3065	601	3
4536	16308	3
5965	5732	3
9374	10477	5
8076	14370	4
8605	759	4
8063	4507	4
9220	8240	5
4659	3549	4
3537	5335	4
4734	4566	5
8813	16343	2
4078	15931	5
9146	17291	5
792	2559	5
5280	13794	4
5610	13502	4
9509	8335	4
8876	5816	4
2522	12997	3
10271	17203	4
5446	4357	3
1894	15547	5
3986	2797	3
3477	8779	3
3388	90	5
3388	279	4
6008	16666	3
9244	3745	4
6944	7830	3
5334	13271	4
9426	14686	4
1680	446	5
10164	8237	4
1005	14457	1
8040	8357	4
6391	4703	5
8750	12554	4
1781	2297	4
7202	10728	5
8316	15917	3
8545	882	4
9174	13597	4
3508	12845	4
9712	9333	4
10504	11584	4
8494	4839	5
91	8357	3
7554	10718	5
2814	10627	5
6714	1202	4
5060	14232	4
7543	12299	4
734	331	3
1909	14302	4
7960	716	5
6393	13652	4
4064	576	3
1266	9990	3
9472	10424	4
7129	541	5
2835	13378	3
814	6485	4
9552	17030	4
7900	333	4
2214	17450	3
3846	1774	4
2190	9840	3
6721	14555	4
6967	8930	4
6721	4706	3
1549	3877	3
5334	14722	3
3653	11990	4
427	10062	3
4106	15346	1
3782	12669	5
1086	17113	4
731	4780	4
5475	9939	4
5973	10069	5
2658	498	5
7881	2432	4
5586	10560	3
8076	4796	3
5291	17276	3
6161	4745	5
315	7869	5
2181	11438	4
1694	5012	5
1247	3126	4
3032	11837	2
2899	2248	3
7488	714	3
8985	5525	3
3302	12530	4
6008	1691	4
10113	2674	4
9968	7403	2
2566	2673	3
7537	4794	5
8034	10679	5
1952	6374	4
7319	6714	4
7655	9977	5
10322	12069	3
5178	2319	4
2242	12448	4
9579	3169	2
3540	14793	3
2642	8970	5
3918	10075	5
7585	8256	3
656	7322	4
9890	534	4
2696	2582	4
5781	6363	3
138	8298	3
4448	381	3
704	5152	4
7112	3849	5
2937	1946	3
4448	388	2
6325	3266	4
4892	1561	3
2905	10332	3
10253	17703	4
6054	12951	4
3668	12668	4
326	6167	3
5615	4188	4
3639	2474	5
862	9626	3
994	9320	4
6206	7329	2
8390	14690	5
1969	13389	3
283	15142	4
1790	15416	4
1552	13145	3
3970	16738	4
10243	4188	4
1315	6058	5
9206	13093	5
6676	2582	4
417	4684	2
9992	294	5
5916	9696	4
4223	11518	5
9851	8826	4
5837	11412	4
6436	3031	4
2455	14719	3
9123	13823	4
746	12580	4
7131	5688	5
714	10332	5
8491	13507	3
2650	16485	4
9776	7407	5
4198	13794	5
4975	11147	4
3014	16657	5
1647	11067	4
6447	16989	4
8943	17444	3
10084	14085	3
7758	11556	3
8997	4188	4
169	10677	3
1468	11240	4
4317	4942	3
2974	12766	4
4414	13784	4
9874	13154	4
9146	3101	3
9322	10588	4
9889	1406	4
1699	14904	3
2889	1308	5
8399	6902	4
4859	17197	4
10199	7671	4
2928	4866	5
5121	13949	3
9343	10332	5
4345	6097	2
1793	12869	4
9598	15250	5
1493	8988	3
4444	8767	4
3365	9897	3
5770	14928	5
3602	167	3
